"endTime","startTime","text"
267587,265846,"Uh, summa-lumma, dooma-lumma, you assumin' I'm a human"
269259,267637,"What I gotta do to get it through to you? I'm superhuman"
270304,269309,"Innovative and I'm made of rubber"
272420,270261,"So that anything you saying ricochetin' off of me and it'll glue to you and"
273763,272487,"I'm devastating, more than ever demonstrating"
275598,273813,"How to give a motherfuckin' audience a feeling like it's levitating"
277246,275788,"Never fading, and I know that the haters are forever waiting"
278895,277412,"For the day that they can say I fell off, they'll be celebrating"
280174,279013,"'Cause I know the way to get 'em motivated"
282170,280224,"I make elevating music, you make elevator music"
283611,282474,"""Oh, he's too mainstream"""
285469,283661,"Well, that's what they do when they get jealous, they confuse it"
288535,285749,"""It's not hip hop, it's pop"", 'cause I found a hella way to fuse it"
290397,288958,"With rock, shock rap with Doc"
291885,290540,"Throw on ""Lose Yourself"" and make 'em lose it"
293442,292189,"""I don't know how to make songs like that"
295023,293792,"I don't know what words to use"""
296278,295210,"Let me know when it occurs to you"
298183,296442,"While I'm rippin' any one of these verses that versus you"
299624,298253,"It’s curtains, I’m inadvertently hurtin' you"
301398,299935,"How many verses I gotta murder to"
302793,301772,"Prove that if you were half as nice"
304351,302982,"Your songs you could sacrifice virgins to?"
307140,304746,"Ugh, school flunkie, pill junky"
309440,307327,"But look at the accolades the skills brung me"
311275,309697,"Full of myself, but still hungry"
314342,311696,"I bully myself 'cause I make me do what I put my mind to"
317850,314459,"And I'm a million leagues above you, ill when I speak in tongues"
319756,317945,"But it's still tongue-in-cheek, fuck you"
323009,319805,"I'm drunk, so, Satan, take the fucking wheel, I'ma sleep in the front seat"
326285,323034,"Bumpin' Heavy D and the Boyz, still ""Chunky but Funky"""
329353,326496,"But in my head there's something I can feel tugging and struggling"
332632,329728,"Angels fight with devils, and here's what they want from me"
335024,333213,"They're askin' me to eliminate some of the women hate"
337185,335072,"But if you take into consideration the bitter hatred I have"
339810,337187,"Then you may be a little patient and more sympathetic to the situation"
341182,339859,"And understand the discrimination"
344576,342068,"But fuck it, life's handing you lemons? Make lemonade then"
345738,345042,"But if I can't batter the women"
347735,346342,"How the fuck am I supposed to bake them a cake then?"
349501,348480,"Don't mistake him for Satan"
350107,349504,"It's a fatal mistake"
352313,350363,"If you think I need to be overseas and take a vacation"
355075,352939,"To trip a broad, and make her fall on her face and"
355980,355423,"Don't be a retard"
357348,356443,"Be a king? Think not"
360273,358021,"Why be a king when you can be a God?"
