"endTime","cumulativeWords","song","eminem"
14274,1,"Dr..Dre.feat..Eminem.",TRUE
16270,8,"Dr..Dre.feat..Eminem.",TRUE
17363,13,"Dr..Dre.feat..Eminem.",TRUE
19895,22,"Dr..Dre.feat..Eminem.",TRUE
21173,27,"Dr..Dre.feat..Eminem.",TRUE
22637,32,"Dr..Dre.feat..Eminem.",TRUE
24845,39,"Dr..Dre.feat..Eminem.",TRUE
26727,48,"Dr..Dre.feat..Eminem.",TRUE
28517,53,"Dr..Dre.feat..Eminem.",TRUE
30990,65,"Dr..Dre.feat..Eminem.",TRUE
32708,73,"Dr..Dre.feat..Eminem.",TRUE
33940,78,"Dr..Dre.feat..Eminem.",TRUE
35636,85,"Dr..Dre.feat..Eminem.",TRUE
37518,93,"Dr..Dre.feat..Eminem.",TRUE
38286,95,"Dr..Dre.feat..Eminem.",TRUE
40255,102,"Dr..Dre.feat..Eminem.",TRUE
41996,110,"Dr..Dre.feat..Eminem.",TRUE
43737,117,"Dr..Dre.feat..Eminem.",TRUE
46546,122,"Dr..Dre.feat..Eminem.",TRUE
47776,125,"Dr..Dre.feat..Eminem.",TRUE
50121,134,"Dr..Dre.feat..Eminem.",TRUE
51745,142,"Dr..Dre.feat..Eminem.",TRUE
53277,151,"Dr..Dre.feat..Eminem.",TRUE
54390,156,"Dr..Dre.feat..Eminem.",TRUE
55297,160,"Dr..Dre.feat..Eminem.",TRUE
57223,169,"Dr..Dre.feat..Eminem.",TRUE
58964,174,"Dr..Dre.feat..Eminem.",TRUE
60659,183,"Dr..Dre.feat..Eminem.",TRUE
61778,187,"Dr..Dre.feat..Eminem.",TRUE
62857,192,"Dr..Dre.feat..Eminem.",TRUE
64368,198,"Dr..Dre.feat..Eminem.",TRUE
66111,204,"Dr..Dre.feat..Eminem.",TRUE
67947,211,"Dr..Dre.feat..Eminem.",TRUE
69790,219,"Dr..Dre.feat..Eminem.",TRUE
71662,227,"Dr..Dre.feat..Eminem.",TRUE
73239,232,"Dr..Dre.feat..Eminem.",TRUE
74425,238,"Dr..Dre.feat..Eminem.",TRUE
75079,242,"Dr..Dre.feat..Eminem.",TRUE
75893,247,"Dr..Dre.feat..Eminem.",TRUE
76755,252,"Dr..Dre.feat..Eminem.",TRUE
77500,255,"Dr..Dre.feat..Eminem.",TRUE
78662,260,"Dr..Dre.feat..Eminem.",TRUE
80384,265,"Dr..Dre.feat..Eminem.",TRUE
81548,271,"Dr..Dre.feat..Eminem.",TRUE
82149,275,"Dr..Dre.feat..Eminem.",TRUE
83009,280,"Dr..Dre.feat..Eminem.",TRUE
84032,285,"Dr..Dre.feat..Eminem.",TRUE
84730,288,"Dr..Dre.feat..Eminem.",TRUE
85892,293,"Dr..Dre.feat..Eminem.",TRUE
86590,298,"Dr..Dre.feat..Eminem.",TRUE
87870,303,"Dr..Dre.feat..Eminem.",TRUE
89291,311,"Dr..Dre.feat..Eminem.",TRUE
90290,315,"Dr..Dre.feat..Eminem.",TRUE
91195,320,"Dr..Dre.feat..Eminem.",TRUE
92962,327,"Dr..Dre.feat..Eminem.",TRUE
95653,337,"Dr..Dre.feat..Eminem.",TRUE
96653,342,"Dr..Dre.feat..Eminem.",TRUE
97401,347,"Dr..Dre.feat..Eminem.",TRUE
99281,355,"Dr..Dre.feat..Eminem.",TRUE
100141,359,"Dr..Dre.feat..Eminem.",TRUE
101848,369,"Dr..Dre.feat..Eminem.",TRUE
103914,378,"Dr..Dre.feat..Eminem.",TRUE
104769,383,"Dr..Dre.feat..Eminem.",TRUE
