Name,Cost,Set Name,R,High,Med,Low
 Abduction,2UU, Weatherlight,U,$9.99 ,$0.29 ,$0.15 
 Abeyance,1W, Weatherlight,R,$249.99 ,$17.95 ,$11.28 
 Abjure,U, Weatherlight,C,$25.00 ,$0.34 ,$0.15 
 Aboroth,4GG, Weatherlight,R,$4.99 ,$0.73 ,$0.30 
 Abyssal Gatekeeper,1B, Weatherlight,C,$9.60 ,$0.25 ,$0.10 
 Aether Flash,2RR, Weatherlight,U,$16.49 ,$0.50 ,$0.25 
 Agonizing Memories,2BB, Weatherlight,U,$16.49 ,$0.24 ,$0.07 
 Alabaster Dragon,4WW, Weatherlight,R,$9.99 ,$0.65 ,$0.20 
 Alms,W, Weatherlight,C,$0.94 ,$0.18 ,$0.01 
 Ancestral Knowledge,1U, Weatherlight,R,$249.99 ,$22.95 ,$6.96 
 Angelic Renewal,1W, Weatherlight,C,$9.99 ,$0.25 ,$0.08 
 Apathy,U, Weatherlight,C,$1.18 ,$0.19 ,$0.05 
 Arctic Wolves,3GG, Weatherlight,U,$1.99 ,$0.24 ,$0.05 
 Ardent Militia,4W, Weatherlight,C,$0.94 ,$0.18 ,$0.02 
 Argivian Find,W, Weatherlight,U,$9.99 ,$0.99 ,$0.33 
 Argivian Restoration,2UU, Weatherlight,U,$16.49 ,$0.29 ,$0.15 
 Aura of Silence,1WW, Weatherlight,U,$16.49 ,$3.40 ,$0.80 
 Avizoa,3U, Weatherlight,R,$16.49 ,$0.49 ,$0.22 
 Barishi,2GG, Weatherlight,U,$1.99 ,$0.25 ,$0.10 
 Barrow Ghoul,1B, Weatherlight,C,$1.70 ,$0.20 ,$0.03 
 Benalish Infantry,2W, Weatherlight,C,$0.94 ,$0.18 ,$0.03 
 Benalish Knight,2W, Weatherlight,C,$0.94 ,$0.19 ,$0.05 
 Benalish Missionary,W, Weatherlight,C,$0.99 ,$0.18 ,$0.03 
 Betrothed of Fire,1R, Weatherlight,C,$0.99 ,$0.19 ,$0.04 
 Bloodrock Cyclops,2R, Weatherlight,C,$0.94 ,$0.18 ,$0.03 
 Blossoming Wreath,G, Weatherlight,C,$0.94 ,$0.19 ,$0.05 
 Bogardan Firefiend,2R, Weatherlight,C,$0.99 ,$0.19 ,$0.04 
 Boiling Blood,2R, Weatherlight,C,$3.23 ,$0.24 ,$0.06 
 Bone Dancer,1BB, Weatherlight,R,$19.99 ,$3.27 ,$1.11 
 Bosium Strip,3, Weatherlight,R,$29.99 ,$2.67 ,$1.54 
 Briar Shield,G, Weatherlight,C,$9.60 ,$0.20 ,$0.04 
 Bubble Matrix,4, Weatherlight,R,$16.49 ,$3.47 ,$1.38 
 Buried Alive,2B, Weatherlight,U,$16.49 ,$3.31 ,$1.49 
 Call of the Wild,2GG, Weatherlight,R,$16.49 ,$0.49 ,$0.15 
 Chimeric Sphere,3, Weatherlight,U,$2.50 ,$0.24 ,$0.04 
