Name,Cost,Set Name,R, High , Med , Low 
 Thundermaw Hellkite,3RR, Iconic Masters,M,7.99,3.99,1.93
 Austere Command,4WW, Iconic Masters,R,6.99,4.08,2.99
 Thran Dynamo,4, Iconic Masters,U,6.99,3.9,2.7
 Urabrask the Hidden,3RR, Iconic Masters,M,6.95,4,2.47
 Nimbus Maze,, Iconic Masters,R,6,1.77,0.98
 Graven Cairns,, Iconic Masters,R,5.99,2.79,1
" Ob Nixilis, the Fallen",3BB, Iconic Masters,M,5.99,2.98,1.49
 Monastery Swiftspear,R, Iconic Masters,U,5.49,1.05,0.5
 Rift Bolt,2R, Iconic Masters,U,5.49,0.85,0.47
 River of Tears,, Iconic Masters,R,5.05,1.4,0.5
 Rune-Scarred Demon,5BB, Iconic Masters,R,5,2.12,1.2
 Night of Souls' Betrayal,2BB, Iconic Masters,R,4.99,0.58,0.19
 Serum Powder,3, Iconic Masters,R,4.99,0.9,0.11
" Yosei, the Morning Star",4WW, Iconic Masters,R,4.99,1.31,0.32
" Keiga, the Tide Star",5U, Iconic Masters,R,4,1.42,0.7
 Mindcrank,2, Iconic Masters,U,4,0.66,0.18
 Lightning Helix,RW, Iconic Masters,U,3.99,2.38,1.45
 Obstinate Baloth,2GG, Iconic Masters,R,3.99,1.27,0.66
 Restoration Angel,3W, Iconic Masters,R,3.99,2.45,1.5
" Ryusei, the Falling Star",5R, Iconic Masters,R,3.19,0.7,0.2
" Jugan, the Rising Star",3GGG, Iconic Masters,R,3,0.79,0.22
 Anger of the Gods,1RR, Iconic Masters,R,2.99,1.73,1.05
 Channel,GG, Iconic Masters,M,2.99,1.02,0.38
 Savageborn Hydra,XRG, Iconic Masters,R,2.99,0.5,0.19
 Swords to Plowshares,W, Iconic Masters,U,2.99,1.25,0.36
 Izzet Boilerworks,, Iconic Masters,U,2.38,0.25,0.09
 Emerge Unscathed,W, Iconic Masters,C,2.36,0.25,0.02
 Abyssal Persecutor,2B, Iconic Masters,R,2,0.59,0.09
 Blood Baron of Vizkopa,3WB, Iconic Masters,R,2,0.5,0.12
 Fireball,XR, Iconic Masters,U,2,0.16,0.01
 Firemane Angel,3RWW, Iconic Masters,R,2,0.37,0.1
 Malfegor,2BBRR, Iconic Masters,R,2,0.39,0.07
 Rakdos Carnarium,, Iconic Masters,U,2,0.24,0.03
 Sanguine Bond,3BB, Iconic Masters,U,2,0.58,0.2
 Sphinx of Uthuun,5UU, Iconic Masters,R,2,0.32,0.05
 Bogardan Hellkite,6RR, Iconic Masters,R,1.99,0.48,0.11
 Dimir Aqueduct,, Iconic Masters,U,1.99,0.6,0.18
 Emeria Angel,2WW, Iconic Masters,R,1.99,0.55,0.17
 Hypersonic Dragon,3UR, Iconic Masters,R,1.99,0.36,0.09
 Lord of the Pit,4BBB, Iconic Masters,R,1.99,0.33,0.05
 Rampaging Baloths,4GG, Iconic Masters,R,1.99,0.66,0.3
 Windfall,2U, Iconic Masters,U,1.99,0.82,0.22
 Crucible of Fire,3R, Iconic Masters,R,1.95,0.39,0.09
 Abzan Battle Priest,3W, Iconic Masters,U,1.9,0.2,0.01
 Abzan Falconer,2W, Iconic Masters,U,1.9,0.2,0.04
 Aetherize,3U, Iconic Masters,U,1.9,0.2,0.05
 Ajani's Pridemate,1W, Iconic Masters,U,1.9,0.37,0.09
 Angelic Accord,3W, Iconic Masters,U,1.9,0.25,0.05
 Azorius Chancery,, Iconic Masters,U,1.9,0.26,0.1
 Azorius Charm,WU, Iconic Masters,U,1.9,0.22,0.04
 Blizzard Specter,2UB, Iconic Masters,U,1.9,0.24,0.02
 Carven Caryatid,1GG, Iconic Masters,U,1.9,0.23,0.02
 Charmbreaker Devils,5R, Iconic Masters,R,1.9,0.33,0.09
 Condescend,XU, Iconic Masters,U,1.9,0.5,0.24
 Corpsejack Menace,2BG, Iconic Masters,U,1.9,0.31,0.09
 Day of the Dragons,4UUU, Iconic Masters,R,1.9,0.31,0.06
 Distortion Strike,U, Iconic Masters,U,1.9,0.35,0.1
 Doom Blade,1B, Iconic Masters,U,1.9,0.25,0.05
 Dragon Tempest,1R, Iconic Masters,U,1.9,0.29,0.05
 Fog Bank,1U, Iconic Masters,U,1.9,0.39,0.14
 Genesis Hydra,XGG, Iconic Masters,R,1.9,0.49,0.18
 Golgari Rot Farm,, Iconic Masters,U,1.9,0.26,0.11
 Gruul Turf,, Iconic Masters,U,1.9,0.28,0.1
 Guttersnipe,2R, Iconic Masters,U,1.9,0.23,0.05
 Illusory Angel,2U, Iconic Masters,U,1.9,0.21,0.04
 Jace's Phantasm,U, Iconic Masters,C,1.9,0.26,0.05
 Kiln Fiend,1R, Iconic Masters,C,1.9,0.2,0.05
