"loan_amnt","term","int_rate","installment","grade","sub_grade","emp_length","home_ownership","annual_inc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","pub_rec_bankruptcies","collections_12_mths_ex_med","mths_since_last_major_derog"
25000,36,6.83,769.99,"A","A3","3 years","MORTGAGE",90500,"Debt consolidation","Debt consolidation","104xx","NY",4.57,0,1,24,NA,11,0,7972,39.1,22,"f",0,0,"null"
22000,36,7.46,683.94,"A","A4","2 years","MORTGAGE",102000,"Debt consolidation","Debt consolidation","913xx","CA",6.93,0,1,36,NA,20,0,17400,24.7,46,"f",0,0,"55"
20000,36,14.52,688.62,"C","C3","10+ years","MORTGAGE",98106,"Debt consolidation","Debt consolidation","700xx","LA",18.5,2,0,12,NA,11,0,9402,42,27,"f",0,0,"46"
16000,36,10.07,516.81,"B","B2","4 years","RENT",95000,"Debt consolidation","Debt consolidation","973xx","OR",6.28,0,3,24,82,9,1,3658,23.3,22,"f",1,0,"null"
27800,36,11.05,910.8,"B","B4","6 years","MORTGAGE",45000,"Debt consolidation","Debt consolidation","852xx","AZ",38.24,0,1,NA,NA,12,0,35545,58.2,22,"f",0,0,"null"
20000,36,14.52,688.62,"C","C3","4 years","MORTGAGE",70000,"Home improvement","Home improvement","381xx","TN",11.9,0,2,NA,NA,5,0,1579,42.7,6,"f",0,0,"null"
24000,36,10.07,775.21,"B","B2","2 years","RENT",95000,"Debt consolidation","Debt consolidation","070xx","NJ",21.75,0,0,NA,NA,12,0,8229,27.6,17,"f",0,0,"null"
30000,36,6.19,915.25,"A","A2","7 years","RENT",85000,"Credit card refinancing","Credit card refinancing","981xx","WA",6.41,0,1,NA,NA,5,0,19612,45.2,9,"f",0,0,"null"
26000,36,5.31,782.87,"A","A1","10+ years","MORTGAGE",75161,"Debt consolidation","Debt consolidation","953xx","CA",36.02,0,0,46,NA,14,0,471,2.5,46,"f",0,0,"46"
24000,36,5.31,722.65,"A","A1","10+ years","MORTGAGE",96000,"Home improvement","Home improvement","800xx","CO",0.44,0,0,NA,NA,5,0,637,1.2,20,"f",0,0,"null"
33500,36,7.46,1041.45,"A","A4","10+ years","OWN",125000,"Credit card refinancing","Credit card refinancing","452xx","OH",18.18,0,0,NA,NA,19,0,28871,28.2,28,"f",0,0,"null"
