"name","cost","set","rarity","tcgH","tcgM","tcgL","foil","player","pack"
" Ebony Charm","B"," Mirage","C","$9.99 ","$0.22 ","$0.05 ","FALSE","charles",1
" Shadow Guildmage","B"," Mirage","C","$3.49 ","$0.19 ","$0.05 ","FALSE","charles",1
" Giant Mantis","3G"," Mirage","C","$1.81 ","$0.20 ","$0.04 ","FALSE","charles",1
" Breathstealer","2B"," Mirage","C","$1.81 ","$0.20 ","$0.03 ","FALSE","charles",1
" Talruum Minotaur","2RR"," Mirage","C","$1.82 ","$0.19 ","$0.05 ","FALSE","charles",1
" Disempower","1W"," Mirage","C","$1.82 ","$0.19 ","$0.05 ","FALSE","charles",1
" Reality Ripple","1U"," Mirage","C","$1.84 ","$0.22 ","$0.03 ","FALSE","charles",1
" Shaper Guildmage","U"," Mirage","C","$3.99 ","$0.20 ","$0.03 ","FALSE","charles",1
" Unyaro Bee Sting","3G"," Mirage","U","$1.82 ","$0.24 ","$0.05 ","FALSE","charles",1
" Spatial Binding","UB"," Mirage","U","$1.82 ","$0.24 ","$0.05 ","FALSE","charles",1
" Decomposition","1G"," Mirage","U","$1.85 ","$0.24 ","$0.05 ","FALSE","charles",1
" Waiting in the Weeds","1GG"," Mirage","R","$16.49 ","$0.63 ","$0.24 ","FALSE","charles",1
" Rampant Growth","1G"," Mirage","C","$4.18 ","$0.89 ","$0.08 ","FALSE","charles",2
" Drain Life","1B"," Mirage","C","$6.99 ","$0.22 ","$0.04 ","FALSE","charles",2
" Ward of Lights","WW"," Mirage","C","$1.85 ","$0.21 ","$0.05 ","FALSE","charles",2
" Ekundu Cyclops","3R"," Mirage","C","$1.80 ","$0.20 ","$0.03 ","FALSE","charles",2
" Healing Salve","W"," Mirage","C","$1.81 ","$0.19 ","$0.03 ","FALSE","charles",2
" Disenchant","1W"," Mirage","C","$9.99 ","$0.23 ","$0.06 ","FALSE","charles",2
" Fog","G"," Mirage","C","$2.50 ","$0.23 ","$0.06 ","FALSE","charles",2
" Talruum Minotaur","2RR"," Mirage","C","$1.82 ","$0.19 ","$0.05 ","FALSE","charles",2
" Wild Elephant","3G"," Mirage","C","$1.70 ","$0.20 ","$0.04 ","FALSE","charles",2
" Kaervek's Torch","XR"," Mirage","C","$4.99 ","$0.25 ","$0.09 ","FALSE","charles",2
" Dwarven Nomad","2R"," Mirage","C","$1.80 ","$0.19 ","$0.03 ","FALSE","charles",2
" Hazerider Drake","2WU"," Mirage","U","$4.99 ","$0.25 ","$0.08 ","FALSE","charles",2
" Melesse Spirit","3WW"," Mirage","U","$6.99 ","$0.25 ","$0.08 ","FALSE","charles",2
" Wave Elemental","2UU"," Mirage","U","$1.85 ","$0.25 ","$0.05 ","FALSE","charles",2
" Zuberi, Golden Feather","4W"," Mirage","R","$11.06 ","$1.32 ","$0.40 ","FALSE","charles",2
" Song of Blood","1R"," Visions","C","$1.18 ","$0.20 ","$0.05 ","FALSE","charles",1
" Urborg Mindsucker","2B"," Visions","C","$0.94 ","$0.19 ","$0.03 ","FALSE","charles",1
" Infantry Veteran","W"," Visions","C","$1.80 ","$0.18 ","$0.03 ","FALSE","charles",1
" Wicked Reward","1B"," Visions","C","$0.94 ","$0.20 ","$0.03 ","FALSE","charles",1
" Sun Clasp","1W"," Visions","C","$1.08 ","$0.19 ","$0.05 ","FALSE","charles",1
" Python","1BB"," Visions","C","$0.99 ","$0.19 ","$0.03 ","FALSE","charles",1
" Talruum Champion","4R"," Visions","C","$1.00 ","$0.19 ","$0.04 ","FALSE","charles",1
" River Boa","1G"," Visions","C","$2.99 ","$0.25 ","$0.08 ","FALSE","charles",1
" Jamuraan Lion","2W"," Visions","C","$1.18 ","$0.20 ","$0.04 ","FALSE","charles",1
" Dark Privilege","1B"," Visions","C","$1.93 ","$0.29 ","$0.08 ","FALSE","charles",1
" Crypt Rats","2B"," Visions","C","$3.59 ","$0.60 ","$0.15 ","FALSE","charles",1
" Quicksand",""," Visions","U","$4.99 ","$0.28 ","$0.10 ","FALSE","charles",1
" Necromancy","2B"," Visions","U","$99.99 ","$17.67 ","$14.17 ","FALSE","charles",1
" Spitting Drake","3R"," Visions","U","$1.07 ","$0.23 ","$0.06 ","FALSE","charles",1
" Guiding Spirit","1WU"," Visions","R","$19.99 ","$1.44 ","$0.66 ","FALSE","charles",1
" Elven Cache","2GG"," Visions","C","$9.60 ","$0.20 ","$0.05 ","FALSE","charles",2
" Hearth Charm","R"," Visions","C","$2.49 ","$0.20 ","$0.04 ","FALSE","charles",2
" Fireblast","4RR"," Visions","C","$32.40 ","$1.26 ","$0.48 ","FALSE","charles",2
" Death Watch","B"," Visions","C","$9.60 ","$0.21 ","$0.05 ","FALSE","charles",2
" Remedy","1W"," Visions","C","$0.99 ","$0.20 ","$0.02 ","FALSE","charles",2
" King Cheetah","3G"," Visions","C","$0.94 ","$0.19 ","$0.04 ","FALSE","charles",2
" Crypt Rats","2B"," Visions","C","$3.59 ","$0.60 ","$0.15 ","FALSE","charles",2
" Resistance Fighter","W"," Visions","C","$1.36 ","$0.20 ","$0.04 ","FALSE","charles",2
" Wake of Vultures","3B"," Visions","C","$0.94 ","$0.19 ","$0.04 ","FALSE","charles",2
" Feral Instinct","1G"," Visions","C","$1.16 ","$0.20 ","$0.03 ","FALSE","charles",2
" Undo","1UU"," Visions","C","$0.99 ","$0.20 ","$0.05 ","FALSE","charles",2
" Peace Talks","1W"," Visions","U","$9.99 ","$0.25 ","$0.10 ","FALSE","charles",2
" Goblin Recruiter","1R"," Visions","U","$14.89 ","$7.95 ","$5.25 ","FALSE","charles",2
" Lead-Belly Chimera","4"," Visions","U","$2.50 ","$0.24 ","$0.07 ","FALSE","charles",2
" Guiding Spirit","1WU"," Visions","R","$19.99 ","$1.44 ","$0.66 ","FALSE","charles",2
" Flux","2U"," Weatherlight","C","$4.99 ","$0.33 ","$0.10 ","FALSE","charles",1
" Nature's Kiss","1G"," Weatherlight","C","$9.60 ","$0.20 ","$0.02 ","FALSE","charles",1
" Fire Whip","1R"," Weatherlight","C","$1.04 ","$0.21 ","$0.07 ","FALSE","charles",1
" Bloodrock Cyclops","2R"," Weatherlight","C","$0.94 ","$0.18 ","$0.03 ","FALSE","charles",1
" Benalish Missionary","W"," Weatherlight","C","$0.99 ","$0.18 ","$0.03 ","FALSE","charles",1
" Guided Strike","1W"," Weatherlight","C","$0.99 ","$0.20 ","$0.04 ","FALSE","charles",1
" Tendrils of Despair","B"," Weatherlight","C","$9.60 ","$0.20 ","$0.04 ","FALSE","charles",1
" Fit of Rage","1R"," Weatherlight","C","$0.99 ","$0.18 ","$0.04 ","FALSE","charles",1
" Abjure","U"," Weatherlight","C","$25.00 ","$0.34 ","$0.15 ","FALSE","charles",1
" Razortooth Rats","2B"," Weatherlight","C","$0.99 ","$0.20 ","$0.06 ","FALSE","charles",1
" Benalish Knight","2W"," Weatherlight","C","$0.94 ","$0.19 ","$0.05 ","FALSE","charles",1
" Lava Hounds","2RR"," Weatherlight","U","$1.99 ","$0.24 ","$0.05 ","FALSE","charles",1
" Barishi","2GG"," Weatherlight","U","$1.99 ","$0.25 ","$0.10 ","FALSE","charles",1
" Necratog","1BB"," Weatherlight","U","$4.99 ","$0.25 ","$0.10 ","FALSE","charles",1
" Tranquil Grove","1G"," Weatherlight","R","$9.99 ","$1.98 ","$0.35 ","FALSE","charles",1
" Benalish Infantry","2W"," Weatherlight","C","$0.94 ","$0.18 ","$0.03 ","FALSE","charles",2
" Phantom Wings","1U"," Weatherlight","C","$1.19 ","$0.18 ","$0.03 ","FALSE","charles",2
" Shadow Rider","2BB"," Weatherlight","C","$9.60 ","$0.20 ","$0.03 ","FALSE","charles",2
" Soul Shepherd","1W"," Weatherlight","C","$1.07 ","$0.18 ","$0.03 ","FALSE","charles",2
" Tendrils of Despair","B"," Weatherlight","C","$9.60 ","$0.20 ","$0.04 ","FALSE","charles",2
" Duskrider Falcon","1W"," Weatherlight","C","$0.99 ","$0.20 ","$0.05 ","FALSE","charles",2
" Shattered Crypt","XBB"," Weatherlight","C","$9.60 ","$0.20 ","$0.04 ","FALSE","charles",2
" Alms","W"," Weatherlight","C","$0.94 ","$0.18 ","$0.01 ","FALSE","charles",2
" Harvest Wurm","1G"," Weatherlight","C","$0.99 ","$0.21 ","$0.05 ","FALSE","charles",2
" Benalish Knight","2W"," Weatherlight","C","$0.94 ","$0.19 ","$0.05 ","FALSE","charles",2
" Fog Elemental","2U"," Weatherlight","C","$1.00 ","$0.19 ","$0.04 ","FALSE","charles",2
" Phyrexian Furnace","1"," Weatherlight","U","$9.99 ","$0.42 ","$0.24 ","FALSE","charles",2
" Revered Unicorn","1W"," Weatherlight","U","$3.00 ","$0.25 ","$0.05 ","FALSE","charles",2
" Master of Arms","2W"," Weatherlight","U","$2.99 ","$0.23 ","$0.05 ","FALSE","charles",2
" Paradigm Shift","1U"," Weatherlight","R","$249.99 ","$17.99 ","$11.99 ","FALSE","charles",2
