"points","first_name","last_name","Position","Name...ID","Name","ID","Salary","Game.Info"
0.7094,"teddy","bridgewater","QB","Teddy Bridgewater (24169293)","teddy bridgewater",24169293,5000,"BUF@MIA 09/25/2022 01:00PM ET"
0.6416,"trevor","siemian","QB","Trevor Siemian (24169303)","trevor siemian",24169303,4800,"HOU@CHI 09/25/2022 01:00PM ET"
0.626,"case","keenum","QB","Case Keenum (24169288)","case keenum",24169288,5000,"BUF@MIA 09/25/2022 01:00PM ET"
0.598,"nick","mullens","QB","Nick Mullens (24169300)","nick mullens",24169300,4800,"DET@MIN 09/25/2022 01:00PM ET"
0.592,"nick","foles","QB","Nick Foles (24169299)","nick foles",24169299,4900,"KC@IND 09/25/2022 01:00PM ET"
0.188,"bailey","zappe","QB","Bailey Zappe (24169336)","bailey zappe",24169336,4000,"BAL@NE 09/25/2022 01:00PM ET"
14.76075,"austin","ekeler","RB","Austin Ekeler (24169352)","austin ekeler",24169352,8000,"JAX@LAC 09/25/2022 04:05PM ET"
14.198,"christian","mccaffrey","RB","Christian McCaffrey (24169348)","christian mccaffrey",24169348,8800,"NO@CAR 09/25/2022 01:00PM ET"
14.10175,"derrick","henry","RB","Derrick Henry (24169350)","derrick henry",24169350,8100,"LV@TEN 09/25/2022 01:00PM ET"
14.0935,"alvin","kamara","RB","Alvin Kamara (24169362)","alvin kamara",24169362,7000,"NO@CAR 09/25/2022 01:00PM ET"
14.014,"joe","mixon","RB","Joe Mixon (24169356)","joe mixon",24169356,7600,"CIN@NYJ 09/25/2022 01:00PM ET"
13.967,"jonathan","taylor","RB","Jonathan Taylor (24169346)","jonathan taylor",24169346,9000,"KC@IND 09/25/2022 01:00PM ET"
13.68075,"aaron","jones","RB","Aaron Jones (24169358)","aaron jones",24169358,7400,"GB@TB 09/25/2022 04:25PM ET"
13.094,"dalvin","cook","RB","Dalvin Cook (24169354)","dalvin cook",24169354,7900,"DET@MIN 09/25/2022 01:00PM ET"
12.8445,"josh","jacobs","RB","Josh Jacobs (24169394)","josh jacobs",24169394,5400,"LV@TEN 09/25/2022 01:00PM ET"
12.38525,"leonard","fournette","RB","Leonard Fournette (24169364)","leonard fournette",24169364,6500,"GB@TB 09/25/2022 04:25PM ET"
12.17475,"travis","etienne","RB","Travis Etienne Jr. (24169396)","travis etienne",24169396,5400,"JAX@LAC 09/25/2022 04:05PM ET"
11.91775,"dameon","pierce","RB","Dameon Pierce (24169422)","dameon pierce",24169422,5000,"HOU@CHI 09/25/2022 01:00PM ET"
11.75325,"david","montgomery","RB","David Montgomery (24169376)","david montgomery",24169376,5900,"HOU@CHI 09/25/2022 01:00PM ET"
11.6925,"miles","sanders","RB","Miles Sanders (24169390)","miles sanders",24169390,5500,"PHI@WAS 09/25/2022 01:00PM ET"
11.573,"rashaad","penny","RB","Rashaad Penny (24169426)","rashaad penny",24169426,4900,"ATL@SEA 09/25/2022 04:25PM ET"
10.5935,"rhamondre","stevenson","RB","Rhamondre Stevenson (24169438)","rhamondre stevenson",24169438,4800,"BAL@NE 09/25/2022 01:00PM ET"
10.45975,"kenneth","walker","RB","Kenneth Walker III (24169418)","kenneth walker",24169418,5000,"ATL@SEA 09/25/2022 04:25PM ET"
10.29325,"dandre","swift","RB","D'Andre Swift (24169360)","dandre swift",24169360,7200,"DET@MIN 09/25/2022 01:00PM ET"
