"points","first_name","last_name","Position","Name...ID","Name","ID","Salary","Game.Info"
6.40625,"romeo","doubs","WR","Romeo Doubs (24169798)","romeo doubs",24169798,3800,"GB@TB 09/25/2022 04:25PM ET"
6.398,"randall","cobb","WR","Randall Cobb (24169792)","randall cobb",24169792,3900,"GB@TB 09/25/2022 04:25PM ET"
6.2245,"corey","davis","WR","Corey Davis (24169740)","corey davis",24169740,4900,"CIN@NYJ 09/25/2022 01:00PM ET"
6.1845,"josh","reynolds","WR","Josh Reynolds (24169758)","josh reynolds",24169758,4500,"DET@MIN 09/25/2022 01:00PM ET"
6.1705,"devante","parker","WR","DeVante Parker (24169782)","devante parker",24169782,4000,"BAL@NE 09/25/2022 01:00PM ET"
6.096,"dj","chark","WR","DJ Chark Jr. (24169726)","dj chark",24169726,5100,"DET@MIN 09/25/2022 01:00PM ET"
6.0395,"keenan","allen","WR","Keenan Allen (24169672)","keenan allen",24169672,6500,"JAX@LAC 09/25/2022 04:05PM ET"
6.005,"devin","duvernay","WR","Devin Duvernay (24169778)","devin duvernay",24169778,4000,"BAL@NE 09/25/2022 01:00PM ET"
5.981,"marvin","jones","WR","Marvin Jones Jr. (24169776)","marvin jones",24169776,4100,"JAX@LAC 09/25/2022 04:05PM ET"
5.96075,"darnell","mooney","WR","Darnell Mooney (24169716)","darnell mooney",24169716,5300,"HOU@CHI 09/25/2022 01:00PM ET"
5.829,"sammy","watkins","WR","Sammy Watkins (24169762)","sammy watkins",24169762,4400,"GB@TB 09/25/2022 04:25PM ET"
5.695,"rondale","moore","WR","Rondale Moore (24169808)","rondale moore",24169808,3600,"LAR@ARI 09/25/2022 04:25PM ET"
5.54725,"zay","jones","WR","Zay Jones (24169786)","zay jones",24169786,4000,"JAX@LAC 09/25/2022 04:05PM ET"
5.49725,"allen","robinson","WR","Allen Robinson II (24169700)","allen robinson",24169700,5700,"LAR@ARI 09/25/2022 04:25PM ET"
5.388,"michael","thomas","WR","Michael Thomas (24169692)","michael thomas",24169692,5900,"NO@CAR 09/25/2022 01:00PM ET"
5.36525,"kj","osborn","WR","K.J. Osborn (24169736)","kj osborn",24169736,4900,"DET@MIN 09/25/2022 01:00PM ET"
5.123,"nico","collins","WR","Nico Collins (24169784)","nico collins",24169784,4000,"HOU@CHI 09/25/2022 01:00PM ET"
5.08775,"alec","pierce","WR","Alec Pierce (24169818)","alec pierce",24169818,3500,"KC@IND 09/25/2022 01:00PM ET"
5.08525,"deandre","carter","WR","DeAndre Carter (24169768)","deandre carter",24169768,4200,"JAX@LAC 09/25/2022 04:05PM ET"
4.96125,"parris","campbell","WR","Parris Campbell (24169832)","parris campbell",24169832,3400,"KC@IND 09/25/2022 01:00PM ET"
4.8995,"isaiah","mckenzie","WR","Isaiah McKenzie (24169748)","isaiah mckenzie",24169748,4700,"BUF@MIA 09/25/2022 01:00PM ET"
4.8945,"julio","jones","WR","Julio Jones (24169704)","julio jones",24169704,5600,"GB@TB 09/25/2022 04:25PM ET"
