Name,Cost,Set Name,R,High,Med,Low
 Abyssal Hunter,3B, Mirage,R,$16.49 ,$0.44 ,$0.18 
 Acidic Dagger,4, Mirage,R,$16.49 ,$0.50 ,$0.23 
 Afiya Grove,1G, Mirage,R,$19.20 ,$0.92 ,$0.37 
 Afterlife,2W, Mirage,U,$1.89 ,$0.25 ,$0.07 
 Agility,1R, Mirage,C,$1.81 ,$0.20 ,$0.03 
 Alarum,1W, Mirage,C,$9.60 ,$0.18 ,$0.04 
 Aleatory,1R, Mirage,U,$2.37 ,$0.49 ,$0.15 
 Amber Prison,4, Mirage,R,$4.99 ,$0.46 ,$0.14 
 Amulet of Unmaking,5, Mirage,R,$18.83 ,$0.56 ,$0.25 
 Ancestral Memories,2UUU, Mirage,R,$16.49 ,$0.43 ,$0.14 
 Armor of Thorns,1G, Mirage,C,$4.99 ,$0.20 ,$0.02 
 Armorer Guildmage,R, Mirage,C,$1.81 ,$0.20 ,$0.04 
 Ashen Powder,2BB, Mirage,R,$399.00 ,$0.71 ,$0.21 
" Asmira, Holy Avenger",2GW, Mirage,R,$16.49 ,$1.01 ,$0.30 
 Auspicious Ancestor,3W, Mirage,R,$10.49 ,$0.50 ,$0.20 
 Azimaet Drake,2U, Mirage,C,$1.81 ,$0.19 ,$0.04 
 Bad River,, Mirage,U,$16.49 ,$4.40 ,$2.00 
 Barbed Foliage,2GG, Mirage,U,$6.99 ,$0.25 ,$0.06 
 Barbed-Back Wurm,4B, Mirage,U,$3.99 ,$0.25 ,$0.07 
 Barreling Attack,2RR, Mirage,R,$16.49 ,$0.50 ,$0.19 
 Basalt Golem,5, Mirage,U,$2.50 ,$0.25 ,$0.06 
 Bay Falcon,1U, Mirage,C,$1.82 ,$0.19 ,$0.05 
 Bazaar of Wonders,3UU, Mirage,R,$16.49 ,$1.03 ,$0.40 
 Benevolent Unicorn,1W, Mirage,C,$1.82 ,$0.20 ,$0.05 
 Benthic Djinn,2UB, Mirage,R,$4.99 ,$0.50 ,$0.19 
 Binding Agony,1B, Mirage,C,$1.84 ,$0.20 ,$0.05 
 Blighted Shaman,1B, Mirage,U,$2.99 ,$0.25 ,$0.06 
 Blind Fury,2RR, Mirage,U,$4.99 ,$0.25 ,$0.05 
 Blinding Light,2W, Mirage,U,$1.99 ,$0.25 ,$0.06 
 Blistering Barrier,2R, Mirage,C,$1.82 ,$0.19 ,$0.05 
 Bone Harvest,2B, Mirage,C,$9.60 ,$0.22 ,$0.07 
 Bone Mask,4, Mirage,R,$16.49 ,$0.53 ,$0.19 
 Boomerang,UU, Mirage,C,$1.86 ,$0.24 ,$0.04 
 Breathstealer,2B, Mirage,C,$1.81 ,$0.20 ,$0.03 
 Brushwagg,1GG, Mirage,R,$999.99 ,$0.82 ,$0.10 
 Builder's Bane,XXR, Mirage,C,$1.82 ,$0.19 ,$0.03 
 Burning Palm Efreet,2RR, Mirage,U,$3.99 ,$0.24 ,$0.05 
 Burning Shield Askari,2R, Mirage,C,$1.99 ,$0.19 ,$0.04 
 Cadaverous Bloom,3BG, Mirage,R,$149.99 ,$4.03 ,$2.20 
 Cadaverous Knight,2B, Mirage,C,$1.82 ,$0.20 ,$0.05 
 Canopy Dragon,4GG, Mirage,R,$10.72 ,$0.75 ,$0.20 
 Carrion,1BB, Mirage,R,$16.49 ,$3.45 ,$1.57 
 Catacomb Dragon,4BB, Mirage,R,$16.49 ,$1.29 ,$0.45 
 Celestial Dawn,1WW, Mirage,R,$16.49 ,$1.16 ,$0.69 
 Cerulean Wyvern,4U, Mirage,U,$4.99 ,$0.24 ,$0.06 
 Chaos Charm,R, Mirage,C,$4.99 ,$0.19 ,$0.05 
 Chaosphere,2R, Mirage,R,$49.99 ,$3.38 ,$1.98 
 Charcoal Diamond,2, Mirage,U,$9.99 ,$2.00 ,$0.88 
 Chariot of the Sun,3, Mirage,U,$1.86 ,$0.24 ,$0.04 
 Choking Sands,1BB, Mirage,C,$16.99 ,$0.82 ,$0.12 
 Cinder Cloud,3RR, Mirage,U,$9.99 ,$0.24 ,$0.08 
 Circle of Despair,1WB, Mirage,R,$16.49 ,$1.79 ,$0.50 
 Civic Guildmage,W, Mirage,C,$4.99 ,$0.19 ,$0.04 
 Cloak of Invisibility,U, Mirage,C,$1.84 ,$0.20 ,$0.05 
 Consuming Ferocity,1R, Mirage,U,$2.99 ,$0.24 ,$0.06 
 Coral Fighters,1U, Mirage,U,$4.99 ,$0.24 ,$0.05 
 Crash of Rhinos,6GG, Mirage,C,$1.82 ,$0.19 ,$0.04 
 Crimson Hellkite,6RRR, Mirage,R,$9.99 ,$0.59 ,$0.24 
 Crimson Roc,4R, Mirage,U,$9.60 ,$0.25 ,$0.05 
 Crypt Cobra,3B, Mirage,U,$6.99 ,$0.25 ,$0.07 
 Crystal Golem,4, Mirage,U,$1.86 ,$0.24 ,$0.06 
 Crystal Vein,, Mirage,U,$16.49 ,$1.70 ,$0.40 
 Cursed Totem,2, Mirage,R,$59.99 ,$20.17 ,$14.89 
 Cycle of Life,1GG, Mirage,R,$16.49 ,$0.50 ,$0.18 
 Daring Apprentice,1UU, Mirage,R,$16.49 ,$0.49 ,$0.10 
 Dark Banishing,2B, Mirage,C,$9.60 ,$0.20 ,$0.03 
 Dark Ritual,B, Mirage,C,$9.99 ,$0.50 ,$0.21 
 Dazzling Beauty,2W, Mirage,C,$9.60 ,$0.20 ,$0.04 
 Decomposition,1G, Mirage,U,$1.85 ,$0.24 ,$0.05 
 Delirium,1BR, Mirage,U,$1.97 ,$0.34 ,$0.15 
 Dirtwater Wraith,3B, Mirage,C,$9.60 ,$0.20 ,$0.03 
 Discordant Spirit,2BR, Mirage,R,$10.55 ,$0.50 ,$0.25 
 Disempower,1W, Mirage,C,$1.82 ,$0.19 ,$0.05 
 Disenchant,1W, Mirage,C,$9.99 ,$0.23 ,$0.06 
 Dissipate,1UU, Mirage,U,$9.99 ,$0.41 ,$0.19 
 Divine Offering,1W, Mirage,C,$9.60 ,$0.20 ,$0.04 
 Divine Retribution,1W, Mirage,R,$16.49 ,$0.50 ,$0.21 
 Drain Life,1B, Mirage,C,$6.99 ,$0.22 ,$0.04 
 Dread Specter,3B, Mirage,U,$1.99 ,$0.25 ,$0.06 
 Dream Cache,2U, Mirage,C,$3.99 ,$0.20 ,$0.05 
 Dream Fighter,2U, Mirage,C,$1.81 ,$0.20 ,$0.04 
 Dwarven Miner,1R, Mirage,U,$16.49 ,$1.11 ,$0.57 
 Dwarven Nomad,2R, Mirage,C,$1.80 ,$0.19 ,$0.03 
 Early Harvest,1GG, Mirage,R,$16.49 ,$1.55 ,$0.96 
 Ebony Charm,B, Mirage,C,$9.99 ,$0.22 ,$0.05 
 Ekundu Cyclops,3R, Mirage,C,$1.80 ,$0.20 ,$0.03 
 Ekundu Griffin,3W, Mirage,C,$9.60 ,$0.19 ,$0.04 
