"Date","TSAscreenings"
"4/9/19",2059142
"4/10/19",2446801
"4/11/19",2484580
"4/12/19",2208688
"4/13/19",2317381
"4/14/19",2616158
"4/15/19",2457133
"4/16/19",1988205
"4/17/19",2356802
"4/18/19",2594171
"4/19/19",2227475
"4/20/19",2254209
"4/21/19",2526961
"4/22/19",2521897
"4/23/19",1990464
"4/24/19",2506809
"4/25/19",2412770
"4/26/19",2102068
"4/27/19",2256442
"4/28/19",2499461
"4/29/19",2546029
"4/30/19",1968278
"5/1/19",2512598
"5/2/19",2470969
"5/3/19",2106597
"5/4/19",2270662
"5/5/19",2555342
"5/6/19",2602631
"5/7/19",1985942
"5/8/19",2419114
"5/9/19",2512315
"5/10/19",2191387
"5/11/19",2343675
"5/12/19",2611324
"5/13/19",2664549
"5/14/19",2091116
"5/15/19",2620276
"5/16/19",2615691
"5/17/19",2312727
"5/18/19",2472123
"5/19/19",2673635
"5/20/19",2792670
"5/21/19",2124825
"5/22/19",2070716
"5/23/19",2512237
"5/24/19",2453649
"5/25/19",2269035
"5/26/19",2485770
"5/27/19",2570613
"5/28/19",2117180
"5/29/19",2555578
"5/30/19",2499002
"5/31/19",2247421
"6/1/19",2370152
"6/2/19",2623947
"6/3/19",2649808
"6/4/19",2225952
"6/5/19",2669860
"6/6/19",2644981
"6/7/19",2433189
"6/8/19",2509058
"6/9/19",2675686
"6/10/19",2727860
"6/11/19",2318946
"6/12/19",2642083
"6/13/19",2699580
"6/14/19",2466574
"6/15/19",2552395
"6/16/19",2728786
"6/17/19",2772903
"6/18/19",2378559
"6/19/19",2719643
"6/20/19",2716428
"6/21/19",2506510
"6/22/19",2594661
"6/23/19",2711222
"6/24/19",2730515
"6/25/19",2368846
"6/26/19",2632030
"6/27/19",2455536
"6/28/19",2347767
"6/29/19",2547889
"6/30/19",2088760
"7/1/19",2184253
"7/2/19",2345846
"7/3/19",2795369
"7/4/19",2748718
"7/5/19",2506859
"7/6/19",2515902
"7/7/19",2608209
"7/8/19",2716812
"7/9/19",2312178
"7/10/19",2669717
"7/11/19",2615115
"7/12/19",2447177
"7/13/19",2522563
"7/14/19",2716828
"7/15/19",2776960
"7/16/19",2396462
"7/17/19",2727355
"7/18/19",2635312
"7/19/19",2499460
"7/20/19",2561911
"7/21/19",2705399
"7/22/19",2732770
"7/23/19",2364925
"7/24/19",2700723
"7/25/19",2613346
"7/26/19",2438967
"7/27/19",2542365
"7/28/19",2742882
"7/29/19",2730936
"7/30/19",2367967
"7/31/19",2688640
"8/1/19",2619406
"8/2/19",2387115
"8/3/19",2430094
"8/4/19",2707986
"8/5/19",2725000
"8/6/19",2290340
"8/7/19",2647897
"8/8/19",2567986
"8/9/19",2306829
"8/10/19",2391906
"8/11/19",2602446
"8/12/19",2627564
"8/13/19",2171962
"8/14/19",2584444
"8/15/19",2576965
"8/16/19",2247446
"8/17/19",2306838
"8/18/19",2533184
"8/19/19",2559244
"8/20/19",2039233
"8/21/19",2493162
"8/22/19",2358007
"8/23/19",2015088
"8/24/19",2188688
"8/25/19",2561109
"8/26/19",2658558
"8/27/19",1954902
"8/28/19",1887845
"8/29/19",2278159
"8/30/19",2037750
"8/31/19",1889044
"9/1/19",2109858
"9/2/19",2198828
"9/3/19",1755502
"9/4/19",2370003
"9/5/19",2292985
"9/6/19",1943379
"9/7/19",2005867
"9/8/19",2449302
"9/9/19",2484025
"9/10/19",1879822
"9/11/19",2485134
"9/12/19",2405832
"9/13/19",2013050
"9/14/19",2146857
"9/15/19",2455410
"9/16/19",2571924
"9/17/19",1938402
"9/18/19",2517826
"9/19/19",2431388
"9/20/19",2033490
"9/21/19",2188236
"9/22/19",2510926
"9/23/19",2547611
"9/24/19",1966234
"9/25/19",2452596
"9/26/19",2368818
"9/27/19",1998980
"9/28/19",2082179
"9/29/19",2447687
"9/30/19",2526835
"10/1/19",1921185
"10/2/19",2542118
"10/3/19",2400153
"10/4/19",2035628
"10/5/19",2215233
"10/6/19",2605291
"10/7/19",2688032
"10/8/19",2074718
"10/9/19",2555333
"10/10/19",2616771
"10/11/19",2313632
"10/12/19",2317763
"10/13/19",2581007
"10/14/19",2637667
"10/15/19",2049855
"10/16/19",2606266
"10/17/19",2514673
"10/18/19",2126637
"10/19/19",2245199
"10/20/19",2541581
"10/22/19",2594337
"10/23/19",1931971
"10/24/19",2478287
"10/25/19",2347017
"10/26/19",1910506
"10/27/19",2066516
"10/28/19",2047910
"10/29/19",2319906
"10/30/19",1836781
"10/31/19",2459525
"11/1/19",2403304
"11/2/19",2005101
"11/3/19",2147882
"11/4/19",2507365
"11/5/19",2544350
"11/6/19",1908805
"11/7/19",2356349
"11/8/19",2465392
"11/9/19",2150003
"11/10/19",2072207
"11/11/19",2364920
"11/12/19",2437211
"11/13/19",1807230
"11/14/19",2396681
"11/15/19",2298856
"11/16/19",1900895
"11/17/19",2071631
"11/18/19",2428095
"11/19/19",2550459
"11/20/19",2194291
"11/21/19",2321546
"11/22/19",2254188
"11/23/19",2435170
"11/24/19",2624250
"11/25/19",1591158
"11/26/19",1968137
"11/27/19",2648268
"11/28/19",2882915
"11/29/19",2591470
"11/30/19",2280403
"12/1/19",2054380
"12/2/19",2262878
"12/3/19",2278205
"12/4/19",1755801
"12/5/19",2292079
"12/6/19",2226290
"12/7/19",1897051
"12/8/19",2020488
"12/9/19",2362310
"12/10/19",2388029
"12/11/19",1893871
"12/12/19",2300248
"12/13/19",2250386
"12/14/19",2009112
"12/15/19",2234374
"12/16/19",2471408
"12/17/19",2608088
"12/18/19",2487987
"12/19/19",2519399
"12/20/19",2490503
"12/21/19",1981433
"12/22/19",1937235
"12/23/19",2552194
"12/24/19",2582580
"12/25/19",2470786
"12/26/19",2575985
"12/27/19",2500396
"12/28/19",2009880
"12/29/19",2133253
"12/30/19",2392331
"12/31/19",2311732
"1/1/20",2178656
"1/2/20",2422272
"1/3/20",2210542
"1/4/20",1806480
"1/5/20",1815040
"1/6/20",2034472
"1/7/20",2072543
"1/8/20",1687974
"1/9/20",2183734
"1/10/20",1992453
"1/11/20",1691205
"1/12/20",1876782
"1/13/20",2242656
"1/14/20",2347075
"1/15/20",1781893
"1/16/20",2000260
"1/17/20",2298616
"1/18/20",1870459
"1/19/20",1801444
"1/20/20",2100401
"1/21/20",2145063
