"tmpID","PartiesDescription","ReligionsDescription","LikelyUnionMember","GunOwner","Veteran","supportsAffordableCareAct","supportsGayMarriage","supportsGunControl","supportsTaxesRaise","overallsocialviews","DonatestoConservativeCauses","DonatestoLiberalCauses"
3553,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
11318,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
8022,"Republican","","","Unknown","Unknown","","","","","","",""
6764,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
6248,"Republican","","","Unknown","Unknown","","","","","","",""
4255,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4471,"Democratic","","","Unknown","Unknown","","","","","","",""
242,"Democratic","Catholic","Yes","Yes","Yes","","","","","","",""
5228,"Democratic","","","Unknown","Unknown","","","","","","",""
10069,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
14034,"Democratic","Protestant","","Yes","Yes","","","","","","",""
2865,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
222,"Democratic","","","Yes","Unknown","","","","","","",""
8458,"Democratic","","","Unknown","Unknown","","","","","","",""
11190,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
9080,"Republican","Protestant","Yes","Unknown","Unknown","","Oppose","Oppose","","Conservative","",""
9208,"Democratic","","","Unknown","Unknown","","","","","","",""
14769,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
8822,"Democratic","","","Unknown","Unknown","","","","","","",""
9747,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
14408,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5867,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3779,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
2577,"Republican","","","Yes","Unknown","","","","","","",""
13296,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
8671,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
311,"Democratic","","","Yes","Unknown","","","","","","",""
13953,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
223,"Non-Partisan","Jewish","","Unknown","Unknown","","","","","","",""
8479,"Democratic","","","Unknown","Unknown","","","","","","",""
9896,"Republican","Protestant","","Yes","Unknown","","","","","","",""
14308,"Democratic","","","Unknown","Unknown","","","","","","",""
8119,"Republican","Greek Orthodox","","Yes","Unknown","","","","","","",""
10210,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
7258,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
1383,"Democratic","","","Unknown","Unknown","","","","","","",""
8371,"Democratic","","","Unknown","Unknown","","","","","","",""
9333,"Republican","Protestant","","Yes","Unknown","","","","","","",""
6360,"Republican","Protestant","","Unknown","Yes","","","","","","",""
9534,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
4786,"Republican","Catholic","Yes","Unknown","Unknown","","","","","","",""
12629,"Republican","","","Unknown","Unknown","","","","","","",""
11764,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
6615,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1068,"Republican","Protestant","","Unknown","Yes","","","","","","",""
4884,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3727,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
14414,"Democratic","","","Unknown","Unknown","","","","","","",""
5586,"Republican","","","Unknown","Unknown","","","","","","",""
7704,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
