"mlsNum","ADDRESS","CITY","STATE","ZIP","LAT","LON","PROPERTY.TYPE","BEDS","BATHS","Community","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","HOA.MONTH","URL","SOURCE","monthPayment","style","pricePerSqFt","redfinEst","PRICE"
22205798,"9 Tudor Ter","Mashpee","MA","02649",41.6521038,-70.4702937,"Single Family Residential",3,2.5,"Mashpee",2074,30056,2022,3,NA,"https://www.redfin.com/MA/Mashpee/9-Tudor-Ter-02649/home/77342370","CCIMLS",7259,"Ranch",587.994214079074,1218744,1219500
73054837,"75 Knott Ave","Sandwich","MA","02563",41.7686113,-70.4986616,"Single Family Residential",2,1,"Sandwich",1182,10890,1950,3,NA,"https://www.redfin.com/MA/Sandwich/75-Knott-Ave-02563/home/134878139","MLS PIN",3597,"Ranch",465.313028764805,570835,550000
73054823,"22 Karen Ln","Wellfleet","MA","02667",41.9215205,-70.0194471,"Single Family Residential",3,2.5,"Wellfleet",2160,30056,2002,3,NA,"https://www.redfin.com/MA/Wellfleet/22-Karen-Ln-02667/home/135402141","MLS PIN",6596,"Cape",509.259259259259,1122962,1100000
73054791,"14 Mary David Rd","Yarmouth","MA","02675",41.7037202,-70.2183464,"Single Family Residential",3,1.5,"Yarmouth",1660,12632,1987,3,NA,"https://www.redfin.com/MA/Yarmouth-Port/14-Mary-David-Rd-02675/home/135706684","MLS PIN",3549,"Ranch",352.409638554217,593166,585000
73054700,"20 Pequod Ln","Eastham","MA","02642",41.8187311,-69.9836239,"Single Family Residential",3,2,"Eastham",1152,20038,1981,4,NA,"https://www.redfin.com/MA/Eastham/20-Pequod-Ln-02642/home/132079127","MLS PIN",3492,"Ranch",493.923611111111,581380,569000
22205791,"962 Commercial St Unit U7","Provincetown","MA","02657",42.0640483,-70.148069,"Condo/Co-op",1,1,"Provincetown",185,42253,1950,4,287,"https://www.redfin.com/MA/Provincetown/962-Commercial-St-02657/unit-U7/home/182598896","CCIMLS",2649,"1950",2156.75675675676,401604,399000
73054653,"215 Roxy Cahoon Rd","Plymouth","MA","02360",41.7873887,-70.5723341,"Single Family Residential",2,1.5,"Plymouth",2323,9583,1950,4,NA,"https://www.redfin.com/MA/Plymouth/215-Roxy-Cahoon-Rd-02360/home/16422013","MLS PIN",2848,"Ranch",193.715023676281,451061,450000
73054611,"252 Deer Meadow Ln","Chatham","MA","02633",41.7040242,-69.9953315,"Single Family Residential",4,4.5,"Chatham",3200,1,2021,4,NA,"https://www.redfin.com/MA/Chatham/252-Deer-Meadow-Ln-02633/home/131502722","MLS PIN",10829,"Farmhouse, Other (See Remarks)",592.1875,1920014,1895000
22205787,"19 Colony Dr","Orleans","MA","02653",41.7879666,-69.9556154,"Single Family Residential",3,2,"Orleans",1747,24394,1977,4,NA,"https://www.redfin.com/MA/Orleans/19-Colony-Dr-02653/home/133955711","CCIMLS",5943,"Cape",569.547796222095,996361,995000
73054584,"720 Pitcher's Unit 12A","Barnstable","MA","02601",41.656721,-70.300357,"Condo/Co-op",2,1,"Hyannis",1032,NA,1988,4,462,"https://www.redfin.com/MA/Hyannis/720-Pitcher-s-02601/unit-12A/home/182596005","MLS PIN",2104,"1988",251.937984496124,264681,260000
22205769,"89 Heritage Ln","Chatham","MA","02633",41.6889361,-69.9698524,"Single Family Residential",3,1.5,"Chatham",1644,13068,1969,4,NA,"https://www.redfin.com/MA/Chatham/89-Heritage-Ln-02633/home/131334144","CCIMLS",4392,"Raised Ranch",455.596107055961,768295,749000
73054528,"888 Long Pond Rd","Plymouth","MA","02360",41.8381647,-70.5799215,"Single Family Residential",4,3,"Plymouth",2566,22178,1979,4,NA,"https://www.redfin.com/MA/Plymouth/888-Long-Pond-Rd-02360/home/16415619","MLS PIN",4617,"Colonial, Other (See Remarks)",280.592361652377,726403,720000
73054510,"135 Foxglove","Barnstable","MA","02632",41.6730457,-70.3731271,"Single Family Residential",3,2.5,"Barnstable",2229,65775,1986,4,NA,"https://www.redfin.com/MA/Centerville/135-Foxglove-Rd-02632/home/77472095","MLS PIN",4327,"Ranch",313.593539703903,706282,699000
73054418,"393 Main St #393","Chatham","MA","02633",41.6786561,-69.953886,"Single Family Residential",3,3,"Chatham",1650,7144,1910,4,NA,"https://www.redfin.com/MA/Chatham/393-Main-St-02633/unit-393/home/182593041","MLS PIN",13398,"Cape",1390.90909090909,2298444,2295000
73054396,"18 Susan Ln","Brewster","MA","02631",41.749866,-70.0923679,"Single Family Residential",4,2.5,"Brewster",1680,61420,1983,4,NA,"https://www.redfin.com/MA/Brewster/18-Susan-Ln-02631/home/77471778","MLS PIN",3866,"Cape",374.404761904762,633481,629000
73054400,"71 Old Main St","Dennis","MA","02670",41.6692729,-70.1564413,"Single Family Residential",3,2,"West Dennis",2374,2178,1864,4,NA,"https://www.redfin.com/MA/West-Dennis/71-Old-Main-St-02670/home/131855592","MLS PIN",5014,"Colonial",357.624262847515,855422,849000
