"unixTime","revMill"
583477200,1470.2
591426000,1624.6
599292000,2291.4
607068000,1529.1
615013200,1675.3
622962000,1830.7
630828000,2519
638604000,1617.8
646549200,1949.2
654498000,2023
662364000,3096.7
670140000,2046.4
678085200,2268.9
686034000,2316.1
693900000,3254.7
701762400,2059.4
709707600,2495.1
717656400,2390.6
725522400,3487.8
733298400,2033
741243600,2537.4
749192400,2355.4
757058400,3509.6
764834400,2379.8
772779600,2507.5
780728400,2737
788594400,3661.3
796370400,2492
804315600,2770.2
812264400,2814
820130400,1687.2
827992800,1744.7
835938000,2674.7
843886800,1356.3
851752800,7853.4
859528800,3160.8
867474000,3160.6
875422800,3328.7
883288800,3616.3
891064800,3601.5
899010000,3755.9
906958800,3725.1
914824800,4191.1
922600800,4240.5
930546000,4362.4
938494800,4311.8
946360800,5183.6
954223200,4739.5
962168400,4942.8
970117200,4916.4
977983200,5488.8
985759200,5385.9
993704400,5494.2
1001653200,5410.8
1009519200,5950.5
1017295200,5970.7
1025240400,5989.5
1033189200,5876.4
1041055200,6344.8
1048831200,6312.8
1056776400,6444.9
1064725200,6378.1
1072591200,7452.2
1080453600,6818.6
1088398800,6943.1
1096347600,7909.4
1104213600,8923.2
1111989600,9182.2
1119934800,9121.6
1127883600,8970.4
1135749600,9732.5
1143525600,9979.2
1151470800,10564.4
1159419600,11208.8
1167285600,12068.3
1175058000,13184.6
1183006800,20703.3
1190955600,20495.2
1198821600,21942.4
1206680400,21326
1214629200,21140.3
1222578000,20863.4
1230444000,24142.3
1238216400,23394
1246165200,24871
1254114000,24642
1261980000,25308
1269752400,23760
1277701200,24007
1285650000,23711
1293516000,24589
1301288400,25695
1309237200,26414
1317186000,26674
1325052000,28297
1332910800,30798
1340859600,30714
1348808400,30227
1356674400,31381
1364446800,30751
1372395600,31248
1380344400,31932
1388210400,32830
1395982800,32689
1403931600,34602
1411880400,35021
1419746400,37055
1427518800,36332
1435467600,37169
1443416400,38644
1451282400,41146
1459141200,43215
1467090000,43725
1475038800,44615
1482904800,45971
1490677200,44514
1498626000,45685
1506574800,46181
1514440800,48385
1522213200,45693
