"date","revMill"
1988-08-28 01:00:00,510.7
1988-11-28 01:00:00,322
1989-02-28 01:00:00,464.7
1989-05-28 01:00:00,413.4
1989-08-28 01:00:00,602.6
1989-11-28 01:00:00,445.7
1990-02-28 01:00:00,577.9
1990-05-28 01:00:00,609
1990-08-28 01:00:00,833.6
1990-11-28 01:00:00,648.8
1991-02-28 01:00:00,802.2
1991-05-28 01:00:00,719
1991-08-28 01:00:00,947.2
1991-11-28 01:00:00,743.4
1992-02-28 01:00:00,867
1992-05-28 01:00:00,847.6
1992-08-28 01:00:00,1099.9
1992-11-28 01:00:00,875.8
1993-02-28 01:00:00,972
1993-05-28 01:00:00,983.3
1993-08-28 01:00:00,1107.9
1993-11-28 01:00:00,805.8
1994-02-28 01:00:00,871.8
1994-05-28 01:00:00,1004.2
1994-08-28 01:00:00,1170.4
1994-11-28 01:00:00,1053.7
1995-02-28 01:00:00,1124.7
1995-05-28 01:00:00,1412
1995-08-28 01:00:00,1614.6
1995-11-28 01:00:00,1443
1996-02-28 01:00:00,1491.6
1996-05-28 01:00:00,1921.3
1996-08-28 01:00:00,2281.9
1996-11-28 01:00:00,2107
1997-02-28 01:00:00,2423.6
1997-05-28 01:00:00,2373.9
1997-08-28 01:00:00,2766.1
1997-11-28 01:00:00,2255.3
1998-02-28 01:00:00,2224
1998-05-28 01:00:00,2307.7
1998-08-28 01:00:00,2504.8
1998-11-28 01:00:00,1913
1999-02-28 01:00:00,2176.8
1999-05-28 01:00:00,2182.3
1999-08-28 01:00:00,2501.1
1999-11-28 01:00:00,2059.7
2000-02-28 01:00:00,2161.6
2000-05-28 01:00:00,2272.7
2000-08-28 01:00:00,2636.7
2000-11-28 01:00:00,2198.7
2001-02-28 01:00:00,2170.1
2001-05-28 01:00:00,2483.3
2001-08-28 01:00:00,2613.7
2001-11-28 01:00:00,2336.8
2002-02-28 01:00:00,2260.3
2002-05-28 01:00:00,2682.2
2002-08-28 01:00:00,2796.3
2002-11-28 01:00:00,2514.7
2003-02-28 01:00:00,2400.9
2003-05-28 01:00:00,2985.1
2003-08-28 01:00:00,3024.9
2003-11-28 01:00:00,2837.1
2004-02-28 01:00:00,2904
2004-05-28 01:00:00,3487.1
2004-08-28 01:00:00,3561.8
2004-11-28 01:00:00,3148.3
2005-02-28 01:00:00,3308.2
2005-05-28 01:00:00,3721.4
2005-08-28 01:00:00,3862
2005-11-28 01:00:00,3474.7
2006-02-28 01:00:00,3612.8
2006-05-28 01:00:00,4005.4
2006-08-28 01:00:00,4194.1
2006-11-28 01:00:00,3821.7
2007-02-28 01:00:00,3926.9
2007-05-28 01:00:00,4383.2
2007-08-28 01:00:00,4655.1
2007-11-28 01:00:00,4339.5
2008-02-28 01:00:00,4544.4
2008-05-28 01:00:00,5088
2008-08-28 01:00:00,5432.2
2008-11-28 01:00:00,4590.1
2009-02-28 01:00:00,4440.8
2009-05-28 01:00:00,4713
2009-08-28 01:00:00,4799
2009-11-28 01:00:00,4405
2010-02-28 01:00:00,4733
2010-05-28 01:00:00,5077
2010-08-28 01:00:00,5175
2010-11-28 01:00:00,4842
2011-02-28 01:00:00,5079
2011-05-28 01:00:00,5021
2011-08-28 01:00:00,6081
2011-11-28 01:00:00,5546
2012-02-28 01:00:00,5656
2012-05-28 01:00:00,6236
2012-08-28 01:00:00,6474
2012-11-28 01:00:00,5955
2013-02-28 01:00:00,6187
2013-05-28 01:00:00,6697
2013-08-28 01:00:00,6971
2013-11-28 01:00:00,6431
2014-02-28 01:00:00,6972
2014-05-28 01:00:00,7425
2014-08-28 01:00:00,7982
2014-11-28 01:00:00,7380
2015-02-28 01:00:00,7460
2015-05-28 01:00:00,7779
2015-08-28 01:00:00,8414
2015-11-28 01:00:00,7686
2016-02-28 01:00:00,8032
2016-05-28 01:00:00,8244
2016-08-28 01:00:00,9061
2016-11-28 01:00:00,8180
2017-02-28 01:00:00,8432
2017-05-28 01:00:00,8677
2017-08-28 01:00:00,9070
2017-11-28 01:00:00,8554
2018-02-28 01:00:00,8984
2018-05-28 01:00:00,9789
