"location","lat","lon"
"edinburgh, united kingdom",55.9542999267578,-3.20188999176025
"magalia, california",39.8062515258789,-121.579071044922
"london, united kingdom",51.506420135498,-0.127210006117821
"astoria, new york",40.7720489501953,-73.9260635375977
"chicago, illinois",41.8842506408691,-87.6324462890625
"orange, california",33.7878684997559,-117.850708007812
"south wellfleet, massachusetts",41.9221496582031,-69.9775695800781
"bayshore, california",37.7062797546387,-122.412857055664
"asheville, north carolina",35.5984382629395,-82.5531234741211
"los gatos, california",37.2213096618652,-121.979270935059
"boise, idaho",43.607608795166,-116.193397521973
"islip terrace, new york",40.7490692138672,-73.1940994262695
"sunnyvale, california",37.3717193603516,-122.03800201416
"cambridge, massachusetts",42.3667907714844,-71.1060104370117
"lake orion, michigan",42.7846717834473,-83.2393112182617
"ozone park, new york",40.680118560791,-73.8473587036133
"jackson, mississippi",32.2986907958984,-90.1804885864258
"ashland, california",37.6995086669922,-122.120452880859
"south orange, new jersey",40.7473411560059,-74.2582626342773
"fort lauderdale, florida",26.1236705780029,-80.1435623168945
"minneapolis, minnesota",44.9790191650391,-93.2649383544922
"pasadena, california",34.1474494934082,-118.144271850586
"atlanta, georgia",33.7483100891113,-84.39111328125
"salt lake city, utah",40.760311126709,-111.888221740723
"arcadia, california",34.1361389160156,-118.038871765137
"milpitas, california",37.4328308105469,-121.897132873535
"san antonio, texas",29.4245796203613,-98.4946136474609
"port costa, california",38.0461311340332,-122.183921813965
"nicasio, california",38.0611724853516,-122.697677612305
"livingston, california",37.3809204101562,-120.723373413086
"bellingham, washington",48.7523498535156,-122.471221923828
"crowley, texas",32.579029083252,-97.3579330444336
"boston, massachusetts",42.3586616516113,-71.0567398071289
"longwood, florida",28.700159072876,-81.3467788696289
"fayetteville, west virginia",38.0525512695312,-81.1033935546875
"granite bay, california",38.7410202026367,-121.170623779297
"isla vista, california",34.4124183654785,-119.857040405273
"hilarita, california",37.8841781616211,-122.471702575684
"campbell, california",37.2884788513184,-121.944862365723
"stratford, connecticut",41.198558807373,-73.1335525512695
"santa ana, california",33.7495803833008,-117.874458312988
"santa rosa, california",38.4379005432129,-122.712440490723
"kula, hawaii",20.7429103851318,-156.325317382812
"murfreesboro, tennessee",35.8443908691406,-86.3943481445312
"brooklyn, new york",40.6924514770508,-73.9903564453125
"north hollywood, california",34.1698188781738,-118.37899017334
"nevada city, california",39.2627410888672,-121.019157409668
"providence, rhode island",41.8238716125488,-71.4119873046875
"stockton, california",37.953670501709,-121.290748596191
"marin city, california",37.8734703063965,-122.512222290039
"washington, district of columbia",38.8903694152832,-77.0319595336914
"waterford, california",37.6410903930664,-120.762046813965
"vancouver, british columbia, canada",49.2603797912598,-123.113357543945
"muir beach, california",37.8664207458496,-122.576187133789
"pacheco, california",37.9914207458496,-122.063766479492
"irvine, california",33.6873016357422,-117.825912475586
"kansas city, missouri",39.1034507751465,-94.5831069946289
"kassel, germany",51.3117599487305,9.49118995666504
"canyon, california",37.8293113708496,-122.165512084961
"philadelphia, pennsylvania",39.952220916748,-75.1621780395508
"oceanview, california",37.7144584655762,-122.459053039551
"long beach, new york",40.5893898010254,-73.6660766601562
"amsterdam, netherlands",52.3348007202148,4.870530128479
"taunton, massachusetts",41.9009208679199,-71.0887603759766
"napa, california",38.2990798950195,-122.285377502441
"austin, texas",30.2675895690918,-97.7429885864258
"san luis obispo, california",35.2855186462402,-120.662521362305
"modesto, california",37.6413803100586,-121.00325012207
"bonaduz, switzerland",46.8112297058105,9.39864253997803
"costa mesa, california",33.663890838623,-117.902366638184
"guadalajara, mexico",20.6662216186523,-103.352088928223
"oakley, california",37.9963684082031,-121.71337890625
"columbus, ohio",39.9619903564453,-83.0027465820312
"chico, california",39.7319984436035,-121.841979980469
"south lake tahoe, california",38.9107208251953,-120.007133483887
"vacaville, california",38.3515281677246,-121.993263244629
"miami, florida",25.7748107910156,-80.1977310180664
"long beach, california",33.7667198181152,-118.192398071289
"denver, colorado",39.7400093078613,-104.99201965332
"seattle, washington",47.6035690307617,-122.329452514648
"cincinnati, ohio",39.1071281433105,-84.5041275024414
"phoenix, arizona",33.4482498168945,-112.075798034668
"rochester, michigan",42.6834182739258,-83.1370162963867
