"unixTime","revMill"
586069200,4845.1
594018000,4991.2
601970400,6530.7
609742800,5373.3
617605200,6046.4
625554000,6283.5
633506400,8107.5
641278800,6768.2
649141200,7543.5
657090000,7931
665042400,10358.9
672814800,9280.6
680677200,10340
688629600,10627.5
696578400,13638.9
704437200,11649.4
712299600,13028.4
720252000,13683.8
728200800,17122.1
735973200,13920.4
743835600,16236.6
751784400,16827
759736800,20360.6
767509200,17686.1
775371600,19942.3
783320400,20417.7
791272800,24447.8
799045200,20440
806907600,22723
814856400,22913
822808800,27550
830667600,22772
838530000,25587
846482400,25644
854431200,30856
862203600,25409
870066000,28386
878018400,28777
885967200,35386
893739600,29819
901602000,33521
909554400,33509
917503200,40785
925275600,34717
933138000,38470
941086800,40432
949039200,51394
956898000,42985
964760400,46112
972709200,45676
980661600,56556
988434000,48052
996296400,52799
1004245200,52738
1012197600,52235
1019970000,52126
1027832400,56781
1035784800,59330
1043733600,56638
1051506000,57224
1059368400,63232
1067320800,63035
1075269600,75190
1083128400,65443
1090990800,70459
1098939600,69282
1106892000,79078
1114664400,70908
1122526800,75932
1130475600,75397
1138428000,89252
1146200400,79676
1154062800,84524
1162011600,84467
1169964000,98796
1177736400,86410
1185598800,92999
1193547600,91865
1201500000,107343
1209358800,94940
1217221200,102342
1225170000,98345
1233122400,108747
1240894800,94242
1248757200,100876
1256706000,99373
1264658400,113622
1272430800,99811
1280293200,103726
1288242000,101952
1296194400,116360
1303966800,104189
1311829200,109366
1319778000,110226
1327730400,122728
1335589200,113010
1343451600,114282
1351400400,113800
1359352800,127776
1367125200,114070
1374987600,116830
1382936400,115688
1390888800,129706
1398661200,114960
1406523600,120125
1414472400,119001
1422424800,131565
1430197200,114826
1438059600,120229
1446008400,117408
1453960800,129667
1461819600,115904
1469682000,120854
1477630800,118179
1485583200,130936
1493355600,117542
1501218000,123355
1509166800,123179
1517119200,136267
1524891600,122690
