unixTime,revMill
827992800,0.9
835938000,2.2
843886800,4.2
851752800,8.4
859528800,16
867474000,27.9
875422800,37.9
883288800,66.1
891064800,87.4
899010000,116
906958800,153.6
914824800,252.8
922600800,293.64
930546000,314.38
938494800,355.8
946360800,676
954223200,573.89
962168400,577.88
970117200,637.86
977983200,972.36
985759200,700.36
993704400,667.63
1001653200,639.28
1009519200,1115.17
1017295200,847.42
1025240400,805.61
1033189200,851.3
1041055200,1428.61
1048831200,1083.56
1056776400,1099.91
1064725200,1134.46
1072591200,1945.77
1080453600,1530.35
1088398800,1387
1096347600,1463
1104213600,2541
1111989600,1902
1119934800,1753
1127883600,1858
1135749600,2977
1143525600,2279
1151470800,2139
1159419600,2307
1167285600,3986
1175058000,3015
1183006800,2886
1190955600,3262
1198821600,5672
1206680400,4135
1214629200,4063
1222578000,4264
1230444000,6703
1238216400,4889
1246165200,4651
1254114000,5449
1261980000,9520
1269752400,7131
1277701200,6566
1285650000,7560
1293516000,12947
1301288400,9857
1309237200,9913
1317186000,10876
1325052000,17431
1332910800,13185
1340859600,12834
1348808400,13806
1356674400,21268
1364446800,16070
1372395600,15704
1380344400,17092
1388210400,25587
1395982800,19741
1403931600,19340
1411880400,20579
1419746400,29329
1427518800,22717
1435467600,23185
1443416400,25358
1451282400,35747
1459141200,29128
1467090000,30404
1475038800,32714
1482904800,43741
1490677200,35714
1498626000,37955
1506574800,43744
1514440800,60453
1522213200,51042
1530349200,52890
1538298000,56580
1546250400,72380
1554022800,59700
1561885200,63400
1569834000,69980
1577786400,87440
1585645200,75450
1593507600,88910
1601456400,96140
1609408800,125560
1617181200,108520
1625043600,113080
1632992400,110810
1640944800,137410
1648717200,116440
1656579600,121230
