date,TSA_screenings,,
8/1/19,"2,619,406",,
8/2/19,"2,387,115",,
8/3/19,"2,430,094",,
8/4/19,"2,707,986",,
8/5/19,"2,725,000",,
8/6/19,"2,290,340",,
8/7/19,"2,647,897",,
8/8/19,"2,567,986",,
8/9/19,"2,306,829",,
8/10/19,"2,391,906",,
8/11/19,"2,602,446",,
8/12/19,"2,627,564",,
8/13/19,"2,171,962",,
8/14/19,"2,584,444",,
8/15/19,"2,576,965",,
8/16/19,"2,247,446",,
8/17/19,"2,306,838",,
8/18/19,"2,533,184",,
8/19/19,"2,559,244",,
8/20/19,"2,039,233",,
8/21/19,"2,493,162",,
8/22/19,"2,358,007",,
8/23/19,"2,015,088",,
8/24/19,"2,188,688",,
8/25/19,"2,561,109",,
8/26/19,"2,658,558",,
8/27/19,"1,954,902",,
8/28/19,"1,887,845",,
8/29/19,"2,278,159",,
8/30/19,"2,037,750",,
8/31/19,"1,889,044",,
9/1/19,"2,109,858",,
9/2/19,"2,198,828",,
9/3/19,"1,755,502",,
9/4/19,"2,370,003",,
9/5/19,"2,292,985",,
9/6/19,"1,943,379",,
9/7/19,"2,005,867",,
9/8/19,"2,449,302",,
9/9/19,"2,484,025",,
9/10/19,"1,879,822",,
9/11/19,"2,485,134",,
9/12/19,"2,405,832",,
9/13/19,"2,013,050",,
9/14/19,"2,146,857",,
9/15/19,"2,455,410",,
9/16/19,"2,571,924",,
9/17/19,"1,938,402",,
9/18/19,"2,517,826",,
9/19/19,"2,431,388",,
9/20/19,"2,033,490",,
9/21/19,"2,188,236",,
9/22/19,"2,510,926",,
9/23/19,"2,547,611",,
9/24/19,"1,966,234",,
9/25/19,"2,452,596",,
9/26/19,"2,368,818",,
9/27/19,"1,998,980",,
9/28/19,"2,082,179",,
9/29/19,"2,447,687",,
9/30/19,"2,526,835",,
10/1/19,"1,921,185",,
10/2/19,"2,542,118",,
10/3/19,"2,400,153",,
10/4/19,"2,035,628",,
10/5/19,"2,215,233",,
10/6/19,"2,605,291",,
10/7/19,"2,688,032",,
10/8/19,"2,074,718",,
10/9/19,"2,555,333",,
10/10/19,"2,616,771",,
10/11/19,"2,313,632",,
10/12/19,"2,317,763",,
10/13/19,"2,581,007",,
10/14/19,"2,637,667",,
10/15/19,"2,049,855",,
10/16/19,"2,606,266",,
10/17/19,"2,514,673",,
10/18/19,"2,126,637",,
10/19/19,"2,245,199",,
10/20/19,"2,541,581",,
10/22/19,"2,594,337",,
10/23/19,"1,931,971",,
10/24/19,"2,478,287",,
10/25/19,"2,347,017",,
10/26/19,"1,910,506",,
10/27/19,"2,066,516",,
10/28/19,"2,047,910",,
10/29/19,"2,319,906",,
10/30/19,"1,836,781",,
10/31/19,"2,459,525",,
11/1/19,"2,403,304",,
11/2/19,"2,005,101",,
11/3/19,"2,147,882",,
11/4/19,"2,507,365",,
11/5/19,"2,544,350",,
11/6/19,"1,908,805",,
11/7/19,"2,356,349",,
11/8/19,"2,465,392",,
11/9/19,"2,150,003",,
11/10/19,"2,072,207",,
11/11/19,"2,364,920",,
11/12/19,"2,437,211",,
11/13/19,"1,807,230",,
11/14/19,"2,396,681",,
11/15/19,"2,298,856",,
11/16/19,"1,900,895",,
11/17/19,"2,071,631",,
11/18/19,"2,428,095",,
11/19/19,"2,550,459",,
11/20/19,"2,194,291",,
11/21/19,"2,321,546",,
11/22/19,"2,254,188",,
11/23/19,"2,435,170",,
11/24/19,"2,624,250",,
11/25/19,"1,591,158",,
11/26/19,"1,968,137",,
11/27/19,"2,648,268",,
11/28/19,"2,882,915",,
11/29/19,"2,591,470",,
11/30/19,"2,280,403",,
12/1/19,"2,054,380",,
12/2/19,"2,262,878",,
12/3/19,"2,278,205",,
12/4/19,"1,755,801",,
12/5/19,"2,292,079",,
12/6/19,"2,226,290",,
12/7/19,"1,897,051",,
12/8/19,"2,020,488",,
12/9/19,"2,362,310",,
12/10/19,"2,388,029",,
12/11/19,"1,893,871",,
12/12/19,"2,300,248",,
12/13/19,"2,250,386",,
12/14/19,"2,009,112",,
12/15/19,"2,234,374",,
12/16/19,"2,471,408",,
12/17/19,"2,608,088",,
12/18/19,"2,487,987",,
12/19/19,"2,519,399",,
12/20/19,"2,490,503",,
12/21/19,"1,981,433",,
12/22/19,"1,937,235",,
12/23/19,"2,552,194",,
12/24/19,"2,582,580",,
12/25/19,"2,470,786",,
12/26/19,"2,575,985",,
12/27/19,"2,500,396",,
12/28/19,"2,009,880",,
12/29/19,"2,133,253",,
12/30/19,"2,392,331",,
12/31/19,"2,311,732",,
1/1/20,"2,178,656",,
1/2/20,"2,422,272",,
1/3/20,"2,210,542",,
1/4/20,"1,806,480",,
1/5/20,"1,815,040",,
1/6/20,"2,034,472",,
1/7/20,"2,072,543",,
1/8/20,"1,687,974",,
1/9/20,"2,183,734",,
1/10/20,"1,992,453",,
1/11/20,"1,691,205",,
1/12/20,"1,876,782",,
1/13/20,"2,242,656",,
1/14/20,"2,347,075",,
1/15/20,"1,781,893",,
1/16/20,"2,000,260",,
1/17/20,"2,298,616",,
1/18/20,"1,870,459",,
1/19/20,"1,801,444",,
1/20/20,"2,100,401",,
1/21/20,"2,145,063",,
1/22/20,"1,645,196",,
1/23/20,"2,136,584",,
1/24/20,"2,004,609",,
1/25/20,"1,643,435",,
1/26/20,"1,777,171",,
1/27/20,"2,085,468",,
1/28/20,"2,159,047",,
1/29/20,"1,658,886",,
1/30/20,"1,948,138",,
1/31/20,"2,054,725",,
2/1/20,"1,677,798",,
