"Category..Tab.Name.","State","Code","Location","Zip","Sq..Feet","Year.Opened","Type","Full.Description.of.Operation","cleanZip","country","zip","city","state","stateAbb","county","lat","lon","ZIP","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP","dupeLocation","retailer"
"US FC/DC Network","Arizona","XUSH","7037 West Van Buren Street , Phoenix. Arizona. USA. 85043","85043","543400","Oct-2015","Large Non-Sortable","",85043,"US",85043,"Phoenix","Arizona","AZ","Maricopa",33.4491,-112.1972,85043,"Maricopa County","location_ AZ",4013,"H1",FALSE,"amzn"
"US FC/DC Network","Arizona","TUS2","6701 S. Kolb Road, Tucson, Arizona, USA, 85756","85756","857400","2020","Small Sortable","Small Sortable. Also processes returns, light assembly, 3-D printing and direct product pickup by customers from automated kiosks",85756,"US",85756,"Tucson","Arizona","AZ","Pima",32.0839,-110.9004,85756,"Pima County","location_ AZ",4019,"H1",FALSE,"amzn"
"US FC/DC Network","California","ONT2 / ONT3 / ONT4 / ONT7","1910 & 2020 E. Central Ave., Building 3, San Bernardino, California, USA, 92408-0123","92408","950000","Oct-2012","Small Sortable, Grocery, Make on Demand Printing","ONT2 is Small Sortable, ONT3 is Make on Demand Printing, ONT7 is Pantry. 2,000 associates",92408,"US",92408,"San Bernardino","California","CA","San Bernardino",34.0831,-117.2711,92408,"San Bernardino County","location_ CA",6071,"H1",FALSE,"amzn"
"US FC/DC Network","California","ONT6 / HLA3","24208 San Michele Rd, Moreno Valley, California. USA, 92551- 9561","92551","1254600","Aug-2014","Apparel, Heavy/bulky Product ","ONT6 is a Legacy Apparel Fulfillment Center with 1,800 associates. HLA3 is a heavy/bulky delivery station for products 60-300lbs ",92551,"US",92551,"Moreno Valley","California","CA","Riverside",33.8814,-117.2261,92551,"Riverside County","location_ CA",6065,"H1",FALSE,"amzn"
"US FC/DC Network","California","ONT9","2125 W. San Bernardino Ave, Redlands, California, USA, 92374-5005","92374","777600","Oct-2014","Non-Sortable","Non-Sortable Fulfillment Center. Ships Large items (e.g. televisions) ",92374,"US",92374,"Redlands","California","CA","San Bernardino",34.065,-117.1672,92374,"San Bernardino County","location_ CA",6071,"H1",FALSE,"amzn"
"US FC/DC Network","California","LGB1","2417 E. Carson St., Long Beach. California, USA, 90810","90810","468100","Jun-2016","Seasonal Supplemental","Supplemental Seasonal FC",90810,"US",90810,"Long Beach","California","CA","Los Angeles",33.8193,-118.2325,90810,"Los Angeles County","location_ CA",6037,"H1",FALSE,"amzn"
"US FC/DC Network","California","LGB4","27517 Pioneer Ave, Redlands. California, USA, 92374-1501","92374","777600","Jun-2017","Large Items","Larger items. such as sports equipment, patio furniture and pet food",92374,"US",92374,"Redlands","California","CA","San Bernardino",34.065,-117.1672,92374,"San Bernardino County","location_ CA",6071,"H1",FALSE,"amzn"
"US FC/DC Network","California","SNA6 / SNA9 ","5250 Goodman Way, 5040 Goodman Way, Building B. Eastvale, California, USA, 91752- 5088","91752","1033200","Oct-2016","QD Fulfillment Center","SNA6 is a Quick Deploy (QD) Fulfillment Center which is a hybrid small sortable FC, Print on Demand Book facility, Amazon Fresh Facility",91752,"US",91752,"Mira Loma","California","CA","Riverside",33.9938,-117.5236,91752,"Riverside County","location_ CA",6065,"H1",FALSE,"amzn"
"US FC/DC Network","California","SNA6 / SNA9 ","5250 Goodman Way, 5040 Goodman Way, Building B. Eastvale, California, USA, 91752- 5088","91752","1033200","Oct-2016","QD Fulfillment Center","SNA6 is a Quick Deploy (QD) Fulfillment Center which is a hybrid small sortable FC, Print on Demand Book facility, Amazon Fresh Facility",91752,"US",91752,"Mira Loma","California","CA","Riverside",33.9938,-117.5236,91752,"San Bernardino County","location_ CA",6071,"H1",TRUE,"amzn"
"US FC/DC Network","California","LGB3","4950 Goodman Way, Building 1, Eastvale, California, USA, 91752- 5087","91752","1007700","Mar-2018","Small Sortable","Small Sortable ",91752,"US",91752,"Mira Loma","California","CA","Riverside",33.9938,-117.5236,91752,"Riverside County","location_ CA",6065,"H1",FALSE,"amzn"
