date,revMill
1988-08-28,510.7
1988-11-28,322
1989-02-28,464.7
1989-05-28,413.4
1989-08-28,602.6
1989-11-28,445.7
1990-02-28,577.9
1990-05-28,609
1990-08-28,833.6
1990-11-28,648.8
1991-02-28,802.2
1991-05-28,719
1991-08-28,947.2
1991-11-28,743.4
1992-02-28,867
1992-05-28,847.6
1992-08-28,1099.9
1992-11-28,875.8
1993-02-28,972
1993-05-28,983.3
1993-08-28,1107.9
1993-11-28,805.8
1994-02-28,871.8
1994-05-28,1004.2
1994-08-28,1170.4
1994-11-28,1053.7
1995-02-28,1124.7
1995-05-28,1412
1995-08-28,1614.6
1995-11-28,1443
1996-02-28,1491.6
1996-05-28,1921.3
1996-08-28,2281.9
1996-11-28,2107
1997-02-28,2423.6
1997-05-28,2373.9
1997-08-28,2766.1
1997-11-28,2255.3
1998-02-28,2224
1998-05-28,2307.7
1998-08-28,2504.8
1998-11-28,1913
1999-02-28,2176.8
1999-05-28,2182.3
1999-08-28,2501.1
1999-11-28,2059.7
2000-02-28,2161.6
2000-05-28,2272.7
2000-08-28,2636.7
2000-11-28,2198.7
2001-02-28,2170.1
2001-05-28,2483.3
2001-08-28,2613.7
2001-11-28,2336.8
2002-02-28,2260.3
2002-05-28,2682.2
2002-08-28,2796.3
2002-11-28,2514.7
2003-02-28,2400.9
2003-05-28,2985.1
2003-08-28,3024.9
2003-11-28,2837.1
2004-02-28,2904
2004-05-28,3487.1
2004-08-28,3561.8
2004-11-28,3148.3
2005-02-28,3308.2
2005-05-28,3721.4
2005-08-28,3862
2005-11-28,3474.7
2006-02-28,3612.8
2006-05-28,4005.4
2006-08-28,4194.1
2006-11-28,3821.7
2007-02-28,3926.9
2007-05-28,4383.2
2007-08-28,4655.1
2007-11-28,4339.5
2008-02-28,4544.4
2008-05-28,5088
2008-08-28,5432.2
2008-11-28,4590.1
2009-02-28,4440.8
2009-05-28,4713
2009-08-28,4799
2009-11-28,4405
2010-02-28,4733
2010-05-28,5077
2010-08-28,5175
2010-11-28,4842
2011-02-28,5079
2011-05-28,5021
2011-08-28,6081
2011-11-28,5546
2012-02-28,5656
2012-05-28,6236
2012-08-28,6474
2012-11-28,5955
2013-02-28,6187
2013-05-28,6697
2013-08-28,6971
2013-11-28,6431
2014-02-28,6972
2014-05-28,7425
2014-08-28,7982
2014-11-28,7380
2015-02-28,7460
2015-05-28,7779
2015-08-28,8414
2015-11-28,7686
2016-02-28,8032
2016-05-28,8244
2016-08-28,9061
2016-11-28,8180
2017-02-28,8432
2017-05-28,8677
2017-08-28,9070
2017-11-28,8554
2018-02-28,8984
2018-05-28,9789
2018-08-28,9948
2018-11-28,9370
2019-02-28,9611
2019-05-28,10180
2019-08-28,10660
2019-11-28,10330
2020-02-28,10100
2020-05-28,6313
2020-08-28,10590
2020-11-28,11240
2021-02-28,10360
2021-05-28,12340
2021-08-28,12250
2021-11-28,11360
2022-02-28,10870
2022-05-28,12230
2022-08-28,12690
2022-11-28,13310
2023-02-28,12390
2023-05-28,12820
2023-08-28,12940
2023-11-28,13390
2024-02-29,12430
2024-05-31,12610
2024-08-31,11590
2024-11-30,12354
2025-02-28,11269
2025-05-31,11097
2025-08-31,11270
2025-11-30,12427
