"Date","TSAscreenings"
2023-10-26,2619848
2023-10-25,2243974
2023-10-24,2133622
2023-10-23,2603743
2023-10-22,2760352
2023-10-21,2161733
2023-10-20,2671897
2023-10-19,2684362
2023-10-18,2333408
2023-10-17,2212049
2023-10-16,2623372
2023-10-15,2785829
2023-10-14,2226278
2023-10-13,2673110
2023-10-12,2695875
2023-10-11,2361366
2023-10-10,2285808
2023-10-09,2676350
2023-10-08,2675250
2023-10-07,2228917
2023-10-06,2748633
2023-10-05,2683860
2023-10-04,2193658
2023-10-03,1989851
2023-10-02,2468894
2023-10-01,2675853
2023-09-30,2140635
2023-09-29,2602713
2023-09-28,2594802
2023-09-27,2132572
2023-09-26,2054526
2023-09-25,2526268
2023-09-24,2671645
2023-09-23,2065096
2023-09-22,2684769
2023-09-21,2638133
2023-09-20,2198837
2023-09-19,1989431
2023-09-18,2494722
2023-09-17,2638689
2023-09-16,1978051
2023-09-15,2583460
2023-09-14,2584180
2023-09-13,2105523
2023-09-12,1988191
2023-09-11,2398612
2023-09-10,2571775
2023-09-09,1984276
2023-09-08,2393743
2023-09-07,2267836
2023-09-06,1958730
2023-09-05,2237980
2023-09-04,2636833
2023-09-03,2074848
2023-09-02,2082990
2023-09-01,2727888
2023-08-31,2599387
2023-08-30,2005559
2023-08-29,1879838
2023-08-28,2339838
2023-08-27,2531104
2023-08-26,2063356
2023-08-25,2509338
2023-08-24,2492828
2023-08-23,2155549
2023-08-22,2095330
2023-08-21,2479491
2023-08-20,2526168
2023-08-19,2252155
2023-08-18,2601048
2023-08-17,2591257
2023-08-16,2295943
2023-08-15,2265628
2023-08-14,2537577
2023-08-13,2672509
2023-08-12,2322724
2023-08-11,2648556
2023-08-10,2648442
2023-08-09,2397657
2023-08-08,2365795
2023-08-07,2593050
2023-08-06,2736096
2023-08-05,2403611
2023-08-04,2690660
2023-08-03,2658817
2023-08-02,2419866
2023-08-01,2352706
2023-07-31,2683055
2023-07-30,2793207
2023-07-29,2457939
2023-07-28,2785404
2023-07-27,2710923
2023-07-26,2374802
2023-07-25,2349592
2023-07-24,2674653
